Jamaal Charles,RB,KC
LeSean McCoy,RB,PHI
Adrian Peterson,RB,MIN
Matt Forte,RB,CHI
Eddie Lacy,RB,GB
Calvin Johnson,WR,DET
Marshawn Lynch,RB,SEA
Jimmy Graham,TE,NO
LeVeon Bell,RB,PIT
Demaryius Thomas,WR,DEN
Josh Gordon,WR,CLE
A.J. Green,WR,CIN
Doug Martin,RB,TB
DeMarco Murray,RB,DAL
Peyton Manning,QB,DEN
Dez Bryant,WR,DAL
Zac Stacy,RB,STL
Arian Foster,RB,HOU
Brandon Marshall,WR,CHI
Julio Jones,WR,ATL
Alfred Morris,RB,WAS
Aaron Rodgers,QB,GB
Giovani Bernard,RB,CIN
Drew Brees,QB,NO
Reggie Bush,RB,DET
Antonio Brown,WR,PIT
Jordy Nelson,WR,GB
Alshon Jeffery,WR,CHI
Randall Cobb,WR,GB
C.J. Spiller,RB,BUF
Julius Thomas,TE,DEN
Ray Rice,RB,BAL
Keenan Allen,WR,SD
Montee Ball,RB,DEN
Ryan Mathews,RB,SD
DeSean Jackson,WR,PHI
Pierre Garcon,WR,WAS
Rob Gronkowski,TE,NE
Michael Crabtree,WR,SF
Percy Harvin,WR,SEA
Chris Johnson,RB,TEN
Andre Johnson,WR,HOU
Frank Gore,RB,SF
Vincent Jackson,WR,TB
Larry Fitzgerald,WR,ARI
Nick Foles,QB,PHI
Victor Cruz,WR,NYG
Wes Welker,WR,DEN
Knowshon Moreno,RB,DEN
Shane Vereen,RB,NE
Cam Newton,QB,CAR
Andre Ellington,RB,ARI
T.Y. Hilton,WR,IND
Vernon Davis,TE,SF
Roddy White,WR,ATL
Cordarrelle Patterson,WR,MIN
Trent Richardson,RB,IND
Eric Decker,WR,DEN
Ben Tate,RB,HOU
Steven Jackson,RB,ATL
Andrew Luck,QB,IND
Jordan Cameron,TE,CLE
Matthew Stafford,QB,DET
Joique Bell,RB,DET
Maurice Jones-Drew,RB,JAC
Justin Blackmon,WR,JAC
Andre Brown,RB,NYG
Torrey Smith,WR,BAL
Julian Edelman,WR,NE
Jordan Reed,TE,WAS
Reggie Wayne,WR,IND
Jason Witten,TE,DAL
Matt Ryan,QB,ATL
Danny Woodhead,RB,SD
Tom Brady,QB,NE
Marques Colston,WR,NO
Chris Ivory,RB,NYJ
Stevan Ridley,RB,NE
Mike Wallace,WR,MIA
Kendall Wright,WR,TEN
Dennis Pitta,TE,BAL
Rashad Jennings,RB,OAK
Michael Floyd,WR,ARI
Seattle Defense,DEF,SEA
Darren Sproles,RB,NO
Fred Jackson,RB,BUF
Jeremy Maclin,WR,PHI
Terrance Williams,WR,DAL
Lamar Miller,RB,MIA
Colin Kaepernick,QB,SF
Philip Rivers,QB,SD
LeGarrette Blount,RB,NE
Tavon Austin,WR,STL
Greg Olsen,TE,CAR
Anquan Boldin,WR,SF
Darren McFadden,RB,OAK
Marcus Lattimore,RB,SF
Tony Romo,QB,DAL
Rueben Randle,WR,NYG
James Jones,WR,GB
San Francisco Defense,DEF,SF
Dwayne Bowe,WR,KC
Donald Brown,RB,IND
Robert Griffin III,QB,WAS
Riley Cooper,WR,PHI
Pierre Thomas,RB,NO
Russell Wilson,QB,SEA
Kyle Rudolph,TE,MIN
Carolina Defense,DEF,CAR
DeAngelo Williams,RB,CAR
